QuestionPublicKey,optionKey,optionText,sortOrder
GMATH_058,B,12,2
GMATH_058,C,9,3
GMATH_058,D,18,4
GMATH_059,A,1:2,1
GMATH_059,B,2:1,2
GMATH_059,C,4:2,3
GMATH_059,D,8:4,4
GMATH_060,A,6,1
GMATH_060,B,9,2
GMATH_060,C,5,3
GMATH_060,D,10,4
GMATH_061,A,3/4,1
GMATH_061,B,2/6,2
GMATH_061,C,1/6,3
GMATH_061,D,4/8,4
GMATH_062,A,4/6,1
GMATH_062,B,3/5,2
GMATH_062,C,6/12,3
GMATH_062,D,2/6,4
GMATH_063,A,5.9,1
GMATH_063,B,5.7,2
GMATH_063,C,6.0,3
GMATH_063,D,4.9,4
GMATH_064,A,42,1
GMATH_064,B,4.2,2
GMATH_064,C,420,3
GMATH_064,D,0.42,4
GMATH_065,A,90,1
GMATH_065,B,45,2
GMATH_065,C,180,3
GMATH_065,D,360,4
GMATH_066,A,6,1
GMATH_066,B,5,2
GMATH_066,C,7,3
GMATH_066,D,8,4
GMATH_067,A,20,1
GMATH_067,B,9,2
GMATH_067,C,18,3
GMATH_067,D,40,4
GMATH_068,A,24,1
GMATH_068,B,12,2
GMATH_068,C,9,3
GMATH_068,D,18,4
GMATH_069,A,1:2,1
GMATH_069,B,2:1,2
GMATH_069,C,4:2,3
GMATH_069,D,8:4,4
GMATH_070,A,6,1
GMATH_070,B,9,2
GMATH_070,C,5,3
GMATH_070,D,10,4
GMATH_071,A,3/4,1
GMATH_071,B,2/6,2
GMATH_071,C,1/6,3
GMATH_071,D,4/8,4
GMATH_072,A,4/6,1
GMATH_072,B,3/5,2
GMATH_072,C,6/12,3
GMATH_072,D,2/6,4
GMATH_073,A,5.9,1
GMATH_073,B,5.7,2
GMATH_073,C,6.0,3
GMATH_073,D,4.9,4
GMATH_074,A,42,1
GMATH_074,B,4.2,2
GMATH_074,C,420,3
GMATH_074,D,0.42,4
GMATH_075,A,90,1
GMATH_075,B,45,2
GMATH_075,C,180,3
GMATH_075,D,360,4
GMATH_076,A,6,1
GMATH_076,B,5,2
GMATH_076,C,7,3
GMATH_076,D,8,4
GMATH_077,A,20,1
GMATH_077,B,9,2
GMATH_077,C,18,3
GMATH_077,D,40,4
GMATH_078,A,24,1
GMATH_078,B,12,2
GMATH_078,C,9,3
GMATH_078,D,18,4
GMATH_079,A,1:2,1
GMATH_079,B,2:1,2
GMATH_079,C,4:2,3
GMATH_079,D,8:4,4
GMATH_080,A,6,1
GMATH_080,B,9,2
GMATH_080,C,5,3
GMATH_080,D,10,4
GMATH_081,A,3/4,1
GMATH_081,B,2/6,2
GMATH_081,C,1/6,3
GMATH_081,D,4/8,4
GMATH_082,A,4/6,1
GMATH_082,B,3/5,2
GMATH_082,C,6/12,3
GMATH_082,D,2/6,4
GMATH_083,A,5.9,1
GMATH_083,B,5.7,2
GMATH_083,C,6.0,3
GMATH_083,D,4.9,4
GMATH_084,A,42,1
GMATH_084,B,4.2,2
GMATH_084,C,420,3
GMATH_084,D,0.42,4
GMATH_085,A,90,1
GMATH_085,B,45,2
GMATH_085,C,180,3
GMATH_085,D,360,4
GMATH_086,A,6,1
GMATH_086,B,5,2
GMATH_086,C,7,3
GMATH_086,D,8,4
GMATH_087,A,20,1
GMATH_087,B,9,2
GMATH_087,C,18,3
GMATH_087,D,40,4
GMATH_088,A,24,1
GMATH_088,B,12,2
GMATH_088,C,9,3
GMATH_088,D,18,4
GMATH_089,A,1:2,1
GMATH_089,B,2:1,2
GMATH_089,C,4:2,3
GMATH_089,D,8:4,4
GMATH_090,A,6,1
GMATH_090,B,9,2
GMATH_090,C,5,3
GMATH_090,D,10,4
GMATH_091,A,3/4,1
GMATH_091,B,2/6,2
GMATH_091,C,1/6,3
GMATH_091,D,4/8,4
GMATH_092,A,4/6,1
GMATH_092,B,3/5,2
GMATH_092,C,6/12,3
GMATH_092,D,2/6,4
GMATH_093,A,5.9,1
GMATH_093,B,5.7,2
GMATH_093,C,6.0,3
GMATH_093,D,4.9,4
GMATH_094,A,42,1
GMATH_094,B,4.2,2
GMATH_094,C,420,3
GMATH_094,D,0.42,4
GMATH_095,A,90,1
GMATH_095,B,45,2
GMATH_095,C,180,3
GMATH_095,D,360,4
GMATH_096,A,6,1
GMATH_096,B,5,2
GMATH_096,C,7,3
GMATH_096,D,8,4
GMATH_097,A,20,1
GMATH_097,B,9,2
GMATH_097,C,18,3
GMATH_097,D,40,4
GMATH_098,A,24,1
GMATH_098,B,12,2
GMATH_098,C,9,3
GMATH_098,D,18,4
GMATH_099,A,1:2,1
GMATH_099,B,2:1,2
GMATH_099,C,4:2,3
GMATH_099,D,8:4,4
GMATH_100,A,6,1
GMATH_100,B,9,2
GMATH_100,C,5,3
GMATH_100,D,10,4
