questionId,optionCode,optionText
HM043,C,86
HM043,D,83
HM044,A,222
HM044,B,225
HM044,C,217
HM044,D,220
HM045,A,36
HM045,B,38
HM045,C,41
HM045,D,33
HM046,A,62
HM046,B,60
HM046,C,65
HM046,D,57
HM047,A,386
HM047,B,389
HM047,C,384
HM047,D,381
HM048,A,178
HM048,B,181
HM048,C,173
HM048,D,176
HM049,A,42
HM049,B,44
HM049,C,47
HM049,D,39
HM050,A,68
HM050,B,66
HM050,C,71
HM050,D,63
HM051,A,112/12a
HM051,B,112/12b
HM051,C,112/12
HM051,D,112/12c
HM052,A,28
HM052,B,31
HM052,C,23
HM052,D,26.0
HM053,A,106
HM053,B,108
HM053,C,111
HM053,D,103
HM054,A,272
HM054,B,270
HM054,C,275
HM054,D,267
HM055,A,258
HM055,B,261
HM055,C,256
HM055,D,253
HM056,A,152
HM056,B,155
HM056,C,147
HM056,D,150
HM057,A,216
HM057,B,218
HM057,C,221
HM057,D,213
HM058,A,134
HM058,B,132
HM058,C,137
HM058,D,129
HM059,A,56
HM059,B,59
HM059,C,54
HM059,D,51
HM060,A,78
HM060,B,81
HM060,C,73
HM060,D,76
HM061,A,132/12
HM061,B,132/12a
HM061,C,132/12b
HM061,D,132/12c
HM062,A,33
HM062,B,31.0
HM062,C,36
HM062,D,28
HM063,A,128
HM063,B,131
HM063,C,126
HM063,D,123
HM064,A,322
HM064,B,325
HM064,C,317
HM064,D,320
HM065,A,121
HM065,B,123
HM065,C,126
HM065,D,118
HM066,A,122
HM066,B,120
HM066,C,125
HM066,D,117
HM067,A,338
HM067,B,341
HM067,C,336
HM067,D,333
HM068,A,167
HM068,B,170
HM068,C,162
HM068,D,165
HM069,A,46
HM069,B,48
HM069,C,51
HM069,D,43
HM070,A,88
HM070,B,86
HM070,C,91
HM070,D,83
HM071,A,152/12a
HM071,B,152/12b
HM071,C,152/12
HM071,D,152/12c
HM072,A,38
HM072,B,41
HM072,C,33
HM072,D,36.0
HM073,A,146
HM073,B,148
HM073,C,151
HM073,D,143
HM074,A,372
HM074,B,370
HM074,C,375
HM074,D,367
HM075,A,38
HM075,B,41
HM075,C,36
HM075,D,33
HM076,A,92
HM076,B,95
HM076,C,87
HM076,D,90
HM077,A,288
HM077,B,290
HM077,C,293
HM077,D,285
HM078,A,123
HM078,B,121
HM078,C,126
HM078,D,118
HM079,A,48
HM079,B,51
HM079,C,46
HM079,D,43
HM080,A,98
HM080,B,101
HM080,C,93
HM080,D,96
HM081,A,172/12
HM081,B,172/12a
HM081,C,172/12b
HM081,D,172/12c
HM082,A,43
HM082,B,41.0
HM082,C,46
HM082,D,38
HM083,A,168
HM083,B,171
HM083,C,166
HM083,D,163
HM084,A,422
HM084,B,425
HM084,C,417
HM084,D,420
HM085,A,256
HM085,B,258
HM085,C,261
HM085,D,253
HM086,A,62
HM086,B,60
HM086,C,65
HM086,D,57
HM087,A,290
HM087,B,293
HM087,C,288
HM087,D,285
HM088,A,156
HM088,B,159
HM088,C,151
HM088,D,154
HM089,A,50
HM089,B,52
HM089,C,55
HM089,D,47
HM090,A,108
HM090,B,106
HM090,C,111
HM090,D,103
HM091,A,192/12a
HM091,B,192/12b
HM091,C,192/12
HM091,D,192/12c
HM092,A,48
HM092,B,51
HM092,C,43
HM092,D,46.0
HM093,A,186
HM093,B,188
HM093,C,191
HM093,D,183
HM094,A,472
HM094,B,470
HM094,C,475
HM094,D,467
HM095,A,123
HM095,B,126
HM095,C,121
HM095,D,118
HM096,A,152
HM096,B,155
HM096,C,147
HM096,D,150
HM097,A,252
HM097,B,254
HM097,C,257
HM097,D,249
HM098,A,112
HM098,B,110
HM098,C,115
HM098,D,107
HM099,A,52
HM099,B,55
HM099,C,50
HM099,D,47
HM100,A,118
HM100,B,121
HM100,C,113
HM100,D,116
