QuestionPublicKey,optionKey,optionText,sortOrder
GMATH_025,A,3.35,1
GMATH_025,B,4.35,2
GMATH_025,C,3.25,3
GMATH_025,D,5.35,4
GMATH_026,A,7.7,1
GMATH_026,B,7.2,2
GMATH_026,C,72,3
GMATH_026,D,6.9,4
GMATH_027,A,10.5,1
GMATH_027,B,1E+2,2
GMATH_027,C,9.7,3
GMATH_027,D,1E+1,4
GMATH_028,A,4.7,1
GMATH_028,B,42,2
GMATH_028,C,4.2,3
GMATH_028,D,3.9,4
GMATH_029,A,9.5,1
GMATH_029,B,9E+1,2
GMATH_029,C,8.7,3
GMATH_029,D,9,4
GMATH_030,A,16.5,1
GMATH_030,B,16,2
GMATH_030,C,1.6E+2,3
GMATH_030,D,15.7,4
GMATH_031,A,40 cm²,1
GMATH_031,B,26 cm²,2
GMATH_031,C,13 cm²,3
GMATH_031,D,45 cm²,4
GMATH_032,A,38 cm²,1
GMATH_032,B,19 cm²,2
GMATH_032,C,89 cm²,3
GMATH_032,D,84 cm²,4
GMATH_033,A,38 cm²,1
GMATH_033,B,19 cm²,2
GMATH_033,C,65 cm²,3
GMATH_033,D,60 cm²,4
GMATH_034,A,30 cm²,1
GMATH_034,B,15 cm²,2
GMATH_034,C,59 cm²,3
GMATH_034,D,54 cm²,4
GMATH_035,A,34 cm²,1
GMATH_035,B,17 cm²,2
GMATH_035,C,42 cm²,3
GMATH_035,D,47 cm²,4
GMATH_036,A,32 m,1
GMATH_036,B,60 m,2
GMATH_036,C,16 m,3
GMATH_036,D,34 m,4
GMATH_037,A,65 m,1
GMATH_037,B,18 m,2
GMATH_037,C,36 m,3
GMATH_037,D,38 m,4
GMATH_038,A,44 m,1
GMATH_038,B,72 m,2
GMATH_038,C,22 m,3
GMATH_038,D,46 m,4
GMATH_039,A,49 m,1
GMATH_039,B,28 m,2
GMATH_039,C,14 m,3
GMATH_039,D,30 m,4
GMATH_040,A,50 m,1
GMATH_040,B,144 m,2
GMATH_040,C,25 m,3
GMATH_040,D,52 m,4
GMATH_041,A,30 cm²,1
GMATH_041,B,60 cm²,2
GMATH_041,C,16 cm²,3
GMATH_041,D,33 cm²,4
GMATH_042,A,60 cm²,1
GMATH_042,B,17 cm²,2
GMATH_042,C,33 cm²,3
GMATH_042,D,30 cm²,4
GMATH_043,A,72 cm²,1
GMATH_043,B,17 cm²,2
GMATH_043,C,39 cm²,3
GMATH_043,D,36 cm²,4
GMATH_044,A,49 cm²,1
GMATH_044,B,98 cm²,2
GMATH_044,C,21 cm²,3
GMATH_044,D,52 cm²,4
GMATH_045,A,48 cm²,1
GMATH_045,B,19 cm²,2
GMATH_045,C,24 cm²,3
GMATH_045,D,27 cm²,4
GMATH_046,A,94 cm³,1
GMATH_046,B,12 cm³,2
GMATH_046,C,60 cm³,3
GMATH_046,D,70 cm³,4
GMATH_047,A,136 cm³,1
GMATH_047,B,84 cm³,2
GMATH_047,C,15 cm³,3
GMATH_047,D,94 cm³,4
GMATH_048,A,80 cm³,1
GMATH_048,B,132 cm³,2
GMATH_048,C,15 cm³,3
GMATH_048,D,90 cm³,4
GMATH_049,A,164 cm³,1
GMATH_049,B,17 cm³,2
GMATH_049,C,130 cm³,3
GMATH_049,D,120 cm³,4
GMATH_050,A,214 cm³,1
GMATH_050,B,18 cm³,2
GMATH_050,C,210 cm³,3
GMATH_050,D,220 cm³,4
GMATH_051,A,150 cm³,1
GMATH_051,B,16 cm³,2
GMATH_051,C,118 cm³,3
GMATH_051,D,108 cm³,4
GMATH_052,A,150 cm³,1
GMATH_052,B,15 cm³,2
GMATH_052,C,125 cm³,3
GMATH_052,D,135 cm³,4
GMATH_053,A,132 cm³,1
GMATH_053,B,17 cm³,2
GMATH_053,C,72 cm³,3
GMATH_053,D,82 cm³,4
GMATH_054,A,148 cm³,1
GMATH_054,B,17 cm³,2
GMATH_054,C,98 cm³,3
GMATH_054,D,88 cm³,4
GMATH_055,A,108 cm³,1
GMATH_055,B,144 cm³,2
GMATH_055,C,15 cm³,3
GMATH_055,D,118 cm³,4
GMATH_056,A,55°,1
GMATH_056,B,35°,2
GMATH_056,C,145°,3
GMATH_056,D,325°,4
GMATH_057,A,42°,1
GMATH_057,B,48°,2
GMATH_057,C,132°,3
GMATH_057,D,312°,4
GMATH_058,A,108°,1
GMATH_058,B,18°,2
GMATH_058,C,72°,3
GMATH_058,D,288°,4
GMATH_059,A,15°,1
GMATH_059,B,105°,2
GMATH_059,C,75°,3
GMATH_059,D,255°,4
GMATH_060,A,38°,1
GMATH_060,B,128°,2
GMATH_060,C,52°,3
GMATH_060,D,232°,4
GMATH_061,A,68°,1
GMATH_061,B,158°,2
GMATH_061,C,22°,3
GMATH_061,D,78°,4
GMATH_062,A,143°,1
GMATH_062,B,53°,2
GMATH_062,C,37°,3
GMATH_062,D,63°,4
GMATH_063,A,136°,1
GMATH_063,B,44°,2
GMATH_063,C,46°,3
GMATH_063,D,56°,4
GMATH_064,A,122°,1
GMATH_064,B,58°,2
GMATH_064,C,42°,3
GMATH_064,D,32°,4
GMATH_065,A,117°,1
GMATH_065,B,63°,2
GMATH_065,C,27°,3
GMATH_065,D,37°,4
GMATH_066,A,5,1
GMATH_066,B,7,2
GMATH_066,C,8,3
GMATH_066,D,6,4
GMATH_067,A,90°,1
GMATH_067,B,270°,2
GMATH_067,C,360°,3
GMATH_067,D,180°,4
GMATH_068,A,75°,1
GMATH_068,B,95°,2
GMATH_068,C,105°,3
GMATH_068,D,85°,4
GMATH_069,A,2,1
GMATH_069,B,3,2
GMATH_069,C,4,3
GMATH_069,D,8,4
GMATH_070,A,Trapezium,1
GMATH_070,B,Square,2
GMATH_070,C,Rectangle,3
GMATH_070,D,Rhombus,4
GMATH_071,A,10,1
GMATH_071,B,15,2
GMATH_071,C,5,3
GMATH_071,D,12,4
GMATH_072,A,25,1
GMATH_072,B,8,2
GMATH_072,C,18,3
GMATH_072,D,15,4
GMATH_073,A,6,1
GMATH_073,B,24,2
GMATH_073,C,5,3
GMATH_073,D,28,4
GMATH_074,A,28,1
GMATH_074,B,20,2
GMATH_074,C,12,3
GMATH_074,D,25,4
GMATH_075,A,28,1
GMATH_075,B,7,2
GMATH_075,C,5,3
GMATH_075,D,8,4
GMATH_076,A,30,1
GMATH_076,B,25,2
GMATH_076,C,250,3
GMATH_076,D,12.5,4
GMATH_077,A,25,1
GMATH_077,B,20,2
GMATH_077,C,200,3
GMATH_077,D,10,4
GMATH_078,A,28,1
GMATH_078,B,230,2
GMATH_078,C,11.5,3
GMATH_078,D,23,4
GMATH_079,A,30,1
GMATH_079,B,35,2
GMATH_079,C,300,3
GMATH_079,D,15,4
GMATH_080,A,53,1
GMATH_080,B,48,2
GMATH_080,C,480,3
GMATH_080,D,24,4
GMATH_081,A,350 cm,1
GMATH_081,B,35 cm,2
GMATH_081,C,3500 cm,3
GMATH_081,D,3.5 cm,4
GMATH_082,A,225 g,1
GMATH_082,B,2250 g,2
GMATH_082,C,22.5 g,3
GMATH_082,D,2.25 g,4
GMATH_083,A,45 L,1
GMATH_083,B,450 L,2
GMATH_083,C,4.5e+06 L,3
GMATH_083,D,4.5 L,4
GMATH_084,A,7200 m,1
GMATH_084,B,720 m,2
GMATH_084,C,72 m,3
GMATH_084,D,7.2 m,4
GMATH_085,A,12.5 m,1
GMATH_085,B,1.25 m,2
GMATH_085,C,12500 m,3
GMATH_085,D,125 m,4
GMATH_086,A,8,1
GMATH_086,B,10,2
GMATH_086,C,6,3
GMATH_086,D,12,4
GMATH_087,A,3,1
GMATH_087,B,14,2
GMATH_087,C,7,3
GMATH_087,D,40,4
GMATH_088,A,2,1
GMATH_088,B,8,2
GMATH_088,C,6,3
GMATH_088,D,5,4
GMATH_089,A,24,1
GMATH_089,B,13,2
GMATH_089,C,90,3
GMATH_089,D,12,4
GMATH_090,A,32,1
GMATH_090,B,30,2
GMATH_090,C,28,3
GMATH_090,D,50,4
GMATH_091,A,28,1
GMATH_091,B,32,2
GMATH_091,C,30,3
GMATH_091,D,36,4
GMATH_092,A,36,1
GMATH_092,B,48,2
GMATH_092,C,30,3
GMATH_092,D,42,4
GMATH_093,A,57,1
GMATH_093,B,27,2
GMATH_093,C,32,3
GMATH_093,D,25,4
GMATH_094,A,9,1
GMATH_094,B,8,2
GMATH_094,C,10,3
GMATH_094,D,12,4
GMATH_095,A,"6,800",1
GMATH_095,B,"6,750",2
GMATH_095,C,"7,000",3
GMATH_095,D,"6,700",4
GMATH_096,A,18,1
GMATH_096,B,18.6,2
GMATH_096,C,20,3
GMATH_096,D,19,4
GMATH_097,A,14,1
GMATH_097,B,42,2
GMATH_097,C,49,3
GMATH_097,D,77,4
GMATH_098,A,12,1
GMATH_098,B,14,2
GMATH_098,C,48,3
GMATH_098,D,24,4
GMATH_099,A,3,1
GMATH_099,B,12,2
GMATH_099,C,6,3
GMATH_099,D,72,4
GMATH_100,A,17,1
GMATH_100,B,72,2
GMATH_100,C,64,3
GMATH_100,D,81,4
