QuestionPublicKey,optionKey,optionText,sortOrder
GMATH_HARD_087,D,45,4
GMATH_HARD_088,A,57,1
GMATH_HARD_088,B,61,2
GMATH_HARD_088,C,51,3
GMATH_HARD_088,D,59,4
GMATH_HARD_089,A,45,1
GMATH_HARD_089,B,43,2
GMATH_HARD_089,C,47,3
GMATH_HARD_089,D,37,4
GMATH_HARD_090,A,49,1
GMATH_HARD_090,B,51,2
GMATH_HARD_090,C,53,3
GMATH_HARD_090,D,43,4
GMATH_HARD_091,A,101,1
GMATH_HARD_091,B,77,2
GMATH_HARD_091,C,83,3
GMATH_HARD_091,D,-1,4
GMATH_HARD_092,A,141,1
GMATH_HARD_092,B,113,2
GMATH_HARD_092,C,1,3
GMATH_HARD_092,D,120,4
GMATH_HARD_093,A,163,1
GMATH_HARD_093,B,187,2
GMATH_HARD_093,C,155,3
GMATH_HARD_093,D,3,4
GMATH_HARD_094,A,239,1
GMATH_HARD_094,B,212,2
GMATH_HARD_094,C,203,3
GMATH_HARD_094,D,5,4
GMATH_HARD_095,A,297,1
GMATH_HARD_095,B,257,2
GMATH_HARD_095,C,267,3
GMATH_HARD_095,D,7,4
GMATH_HARD_096,A,181,1
GMATH_HARD_096,B,152,2
GMATH_HARD_096,C,-6,3
GMATH_HARD_096,D,163,4
GMATH_HARD_097,A,215,1
GMATH_HARD_097,B,236,2
GMATH_HARD_097,C,203,3
GMATH_HARD_097,D,-4,4
GMATH_HARD_098,A,297,1
GMATH_HARD_098,B,273,2
GMATH_HARD_098,C,260,3
GMATH_HARD_098,D,-2,4
GMATH_HARD_099,A,364,1
GMATH_HARD_099,B,323,2
GMATH_HARD_099,C,337,3
GMATH_HARD_099,D,0,4
GMATH_HARD_100,A,437,1
GMATH_HARD_100,B,392,2
GMATH_HARD_100,C,2,3
GMATH_HARD_100,D,407,4
