QuestionPublicKey,optionKey,optionText
STEAM_030,C,mosses
STEAM_030,D,ferns
STEAM_031,A,4 m/s
STEAM_031,B,5 m/s
STEAM_031,C,10 m/s
STEAM_031,D,6 m/s
STEAM_032,A,5 m/s
STEAM_032,B,10 m/s
STEAM_032,C,4 m/s
STEAM_032,D,6 m/s
STEAM_033,A,5 m/s
STEAM_033,B,6 m/s
STEAM_033,C,4 m/s
STEAM_033,D,10 m/s
STEAM_034,A,9 m/s
STEAM_034,B,16 m/s
STEAM_034,C,8 m/s
STEAM_034,D,7 m/s
STEAM_035,A,6 m/s
STEAM_035,B,4 m/s
STEAM_035,C,5 m/s
STEAM_035,D,10 m/s
STEAM_036,A,6 m/s
STEAM_036,B,4 m/s
STEAM_036,C,10 m/s
STEAM_036,D,5 m/s
STEAM_037,A,13 m/s
STEAM_037,B,12 m/s
STEAM_037,C,11 m/s
STEAM_037,D,24 m/s
STEAM_038,A,4 m/s
STEAM_038,B,3 m/s
STEAM_038,C,5 m/s
STEAM_038,D,8 m/s
STEAM_039,A,7 m/s
STEAM_039,B,6 m/s
STEAM_039,C,12 m/s
STEAM_039,D,5 m/s
STEAM_040,A,8 m/s
STEAM_040,B,5 m/s
STEAM_040,C,3 m/s
STEAM_040,D,4 m/s
STEAM_041,A,12 m/s
STEAM_041,B,7 m/s
STEAM_041,C,6 m/s
STEAM_041,D,5 m/s
STEAM_042,A,4 m/s
STEAM_042,B,6 m/s
STEAM_042,C,5 m/s
STEAM_042,D,10 m/s
STEAM_043,A,12 m/s
STEAM_043,B,7 m/s
STEAM_043,C,5 m/s
STEAM_043,D,6 m/s
STEAM_044,A,10 m/s
STEAM_044,B,5 m/s
STEAM_044,C,4 m/s
STEAM_044,D,6 m/s
STEAM_045,A,6 m/s
STEAM_045,B,5 m/s
STEAM_045,C,10 m/s
STEAM_045,D,4 m/s
STEAM_046,A,4 N
STEAM_046,B,6 N
STEAM_046,C,12 N
STEAM_046,D,8 N
STEAM_047,A,40 N
STEAM_047,B,24 N
STEAM_047,C,16 N
STEAM_047,D,20 N
STEAM_048,A,15 N
STEAM_048,B,5 N
STEAM_048,C,10 N
STEAM_048,D,20 N
STEAM_049,A,48 N
STEAM_049,B,24 N
STEAM_049,C,30 N
STEAM_049,D,18 N
STEAM_050,A,32 N
STEAM_050,B,16 N
STEAM_050,C,48 N
STEAM_050,D,24 N
STEAM_051,A,30 N
STEAM_051,B,25 N
STEAM_051,C,5 N
STEAM_051,D,15 N
STEAM_052,A,36 N
STEAM_052,B,48 N
STEAM_052,C,12 N
STEAM_052,D,24 N
STEAM_053,A,45 N
STEAM_053,B,90 N
STEAM_053,C,30 N
STEAM_053,D,60 N
STEAM_054,A,50 N
STEAM_054,B,30 N
STEAM_054,C,100 N
STEAM_054,D,70 N
STEAM_055,A,100 N
STEAM_055,B,50 N
STEAM_055,C,25 N
STEAM_055,D,75 N
STEAM_056,A,6 Ω
STEAM_056,B,8 Ω
STEAM_056,C,24 Ω
STEAM_056,D,5 Ω
STEAM_057,A,2 Ω
STEAM_057,B,50 Ω
STEAM_057,C,1 Ω
STEAM_057,D,4 Ω
STEAM_058,A,27 Ω
STEAM_058,B,2 Ω
STEAM_058,C,5 Ω
STEAM_058,D,3 Ω
STEAM_059,A,11 Ω
STEAM_059,B,14 Ω
STEAM_059,C,3 Ω
STEAM_059,D,12 Ω
STEAM_060,A,8 Ω
STEAM_060,B,6 Ω
STEAM_060,C,5 Ω
STEAM_060,D,96 Ω
STEAM_061,A,45 Ω
STEAM_061,B,4 Ω
STEAM_061,C,7 Ω
STEAM_061,D,5 Ω
STEAM_062,A,12 Ω
STEAM_062,B,9 Ω
STEAM_062,C,10 Ω
STEAM_062,D,40 Ω
STEAM_063,A,108 Ω
STEAM_063,B,5 Ω
STEAM_063,C,3 Ω
STEAM_063,D,2 Ω
STEAM_064,A,6 Ω
STEAM_064,B,150 Ω
STEAM_064,C,8 Ω
STEAM_064,D,5 Ω
STEAM_065,A,6 Ω
STEAM_065,B,4 Ω
STEAM_065,C,3 Ω
STEAM_065,D,16 Ω
STEAM_066,A,150 J
STEAM_066,B,50 J
STEAM_066,C,100 J
STEAM_066,D,10 J
STEAM_067,A,50 J
STEAM_067,B,150 J
STEAM_067,C,100 J
STEAM_067,D,10 J
STEAM_068,A,12 J
STEAM_068,B,60 J
STEAM_068,C,170 J
STEAM_068,D,120 J
STEAM_069,A,100 J
STEAM_069,B,10 J
STEAM_069,C,50 J
STEAM_069,D,150 J
STEAM_070,A,150 J
STEAM_070,B,300 J
STEAM_070,C,350 J
STEAM_070,D,30 J
STEAM_071,A,370 J
STEAM_071,B,160 J
STEAM_071,C,32 J
STEAM_071,D,320 J
STEAM_072,A,180 J
STEAM_072,B,36 J
STEAM_072,C,360 J
STEAM_072,D,410 J
STEAM_073,A,400 J
STEAM_073,B,35 J
STEAM_073,C,350 J
STEAM_073,D,175 J
STEAM_074,A,850 J
STEAM_074,B,800 J
STEAM_074,C,80 J
STEAM_074,D,400 J
STEAM_075,A,48 J
STEAM_075,B,480 J
STEAM_075,C,240 J
STEAM_075,D,530 J
STEAM_076,A,150 m/s
STEAM_076,B,50 m/s
STEAM_076,C,25 m/s
STEAM_076,D,100 m/s
STEAM_077,A,33.3333 m/s
STEAM_077,B,250 m/s
STEAM_077,C,350 m/s
STEAM_077,D,300 m/s
STEAM_078,A,133.333 m/s
STEAM_078,B,350 m/s
STEAM_078,C,250 m/s
STEAM_078,D,300 m/s
STEAM_079,A,500 m/s
STEAM_079,B,550 m/s
STEAM_079,C,125 m/s
STEAM_079,D,450 m/s
STEAM_080,A,200 m/s
STEAM_080,B,150 m/s
STEAM_080,C,100 m/s
STEAM_080,D,600 m/s
STEAM_081,A,350 m/s
STEAM_081,B,300 m/s
STEAM_081,C,250 m/s
STEAM_081,D,533.333 m/s
STEAM_082,A,300 m/s
STEAM_082,B,350 m/s
STEAM_082,C,833.333 m/s
STEAM_082,D,250 m/s
STEAM_083,A,300 m/s
STEAM_083,B,250 m/s
STEAM_083,C,12 m/s
STEAM_083,D,350 m/s
STEAM_084,A,370 m/s
STEAM_084,B,270 m/s
STEAM_084,C,320 m/s
STEAM_084,D,20 m/s
STEAM_085,A,250 m/s
STEAM_085,B,350 m/s
STEAM_085,C,300 m/s
STEAM_085,D,48 m/s
STEAM_086,A,0 m/s
STEAM_086,B,15 m/s
STEAM_086,C,10 m/s
STEAM_086,D,8 m/s
STEAM_087,A,50 m/s
STEAM_087,B,15 m/s
STEAM_087,C,14 m/s
STEAM_087,D,25 m/s
STEAM_088,A,80 m/s
STEAM_088,B,22 m/s
STEAM_088,C,16 m/s
STEAM_088,D,18 m/s
STEAM_089,A,27 m/s
STEAM_089,B,18 m/s
STEAM_089,C,21 m/s
STEAM_089,D,54 m/s
STEAM_090,A,18 m/s
STEAM_090,B,20 m/s
STEAM_090,C,28 m/s
STEAM_090,D,64 m/s
STEAM_091,A,20 m/s
STEAM_091,B,17 m/s
STEAM_091,C,12 m/s
STEAM_091,D,30 m/s
STEAM_092,A,31 m/s
STEAM_092,B,22 m/s
STEAM_092,C,120 m/s
STEAM_092,D,26 m/s
STEAM_093,A,32 m/s
STEAM_093,B,96 m/s
STEAM_093,C,20 m/s
STEAM_093,D,19 m/s
STEAM_094,A,24 m/s
STEAM_094,B,22 m/s
STEAM_094,C,30 m/s
STEAM_094,D,144 m/s
STEAM_095,A,30 m/s
STEAM_095,B,35 m/s
STEAM_095,C,27 m/s
STEAM_095,D,225 m/s
STEAM_096,A,Li
STEAM_096,B,H
STEAM_096,C,He
STEAM_096,D,C
STEAM_097,A,Li
STEAM_097,B,C
STEAM_097,C,H
STEAM_097,D,He
STEAM_098,A,H
STEAM_098,B,C
STEAM_098,C,He
STEAM_098,D,Li
STEAM_099,A,Li
STEAM_099,B,H
STEAM_099,C,C
STEAM_099,D,He
STEAM_100,A,He
STEAM_100,B,H
STEAM_100,C,Li
STEAM_100,D,N
STEAM_101,A,Li
STEAM_101,B,H
STEAM_101,C,O
STEAM_101,D,He
STEAM_102,A,H
STEAM_102,B,Na
STEAM_102,C,Li
STEAM_102,D,He
STEAM_103,A,H
STEAM_103,B,Mg
STEAM_103,C,Li
STEAM_103,D,He
STEAM_104,A,He
STEAM_104,B,Al
STEAM_104,C,Li
STEAM_104,D,H
STEAM_105,A,H
STEAM_105,B,Li
STEAM_105,C,He
STEAM_105,D,Si
STEAM_106,A,Li
STEAM_106,B,P
STEAM_106,C,H
STEAM_106,D,He
STEAM_107,A,Li
STEAM_107,B,H
STEAM_107,C,S
STEAM_107,D,He
STEAM_108,A,He
STEAM_108,B,Cl
STEAM_108,C,H
STEAM_108,D,Li
STEAM_109,A,Li
STEAM_109,B,H
STEAM_109,C,He
STEAM_109,D,Ar
STEAM_110,A,H
STEAM_110,B,Li
STEAM_110,C,K
STEAM_110,D,He
STEAM_111,A,Li
STEAM_111,B,H
STEAM_111,C,Ca
STEAM_111,D,He
STEAM_112,A,Fe
STEAM_112,B,Li
STEAM_112,C,He
STEAM_112,D,H
STEAM_113,A,H
STEAM_113,B,Cu
STEAM_113,C,He
STEAM_113,D,Li
STEAM_114,A,H
STEAM_114,B,He
STEAM_114,C,Li
STEAM_114,D,Zn
STEAM_115,A,He
STEAM_115,B,Li
STEAM_115,C,H
STEAM_115,D,Ag
STEAM_116,A,3
STEAM_116,B,1
STEAM_116,C,2
STEAM_116,D,4
STEAM_117,A,5
STEAM_117,B,3
STEAM_117,C,4
STEAM_117,D,2
STEAM_118,A,7
STEAM_118,B,8
STEAM_118,C,6
STEAM_118,D,5
STEAM_119,A,9
STEAM_119,B,6
STEAM_119,C,8
STEAM_119,D,7
STEAM_120,A,10
STEAM_120,B,7
STEAM_120,C,8
STEAM_120,D,9
STEAM_121,A,10
STEAM_121,B,11
STEAM_121,C,13
STEAM_121,D,12
STEAM_122,A,12
STEAM_122,B,14
STEAM_122,C,11
STEAM_122,D,13
STEAM_123,A,14
STEAM_123,B,13
STEAM_123,C,12
STEAM_123,D,15
STEAM_124,A,15
STEAM_124,B,16
STEAM_124,C,14
STEAM_124,D,13
STEAM_125,A,14
STEAM_125,B,16
STEAM_125,C,15
STEAM_125,D,17
STEAM_126,A,15
STEAM_126,B,18
STEAM_126,C,16
STEAM_126,D,17
STEAM_127,A,19
STEAM_127,B,17
STEAM_127,C,18
STEAM_127,D,16
STEAM_128,A,20
STEAM_128,B,17
STEAM_128,C,18
STEAM_128,D,19
STEAM_129,A,19
STEAM_129,B,18
STEAM_129,C,20
STEAM_129,D,21
STEAM_130,A,22
STEAM_130,B,19
STEAM_130,C,21
STEAM_130,D,20
STEAM_131,A,CO2
STEAM_131,B,NH3
STEAM_131,C,CH4
STEAM_131,D,CaCO3
STEAM_132,A,CH4
STEAM_132,B,CO2
STEAM_132,C,CaCO3
STEAM_132,D,NH3
STEAM_133,A,CH4
STEAM_133,B,CaCO3
STEAM_133,C,NH3
STEAM_133,D,CO2
STEAM_134,A,NH3
STEAM_134,B,CO2
STEAM_134,C,CH4
STEAM_134,D,CaCO3
STEAM_135,A,NaHCO3
STEAM_135,B,CO2
STEAM_135,C,CH4
STEAM_135,D,NH3
STEAM_136,A,CO2
STEAM_136,B,HCl
STEAM_136,C,NH3
STEAM_136,D,CH4
STEAM_137,A,CO2
STEAM_137,B,H2SO4
STEAM_137,C,NH3
STEAM_137,D,CH4
STEAM_138,A,CH4
STEAM_138,B,CO2
STEAM_138,C,HNO3
STEAM_138,D,NH3
STEAM_139,A,CO2
STEAM_139,B,CH4
STEAM_139,C,NH3
STEAM_139,D,NaOH
STEAM_140,A,CH4
STEAM_140,B,Ca(OH)2
STEAM_140,C,CO2
STEAM_140,D,NH3
STEAM_141,A,C6H12O6
STEAM_141,B,CO2
STEAM_141,C,CH4
STEAM_141,D,NH3
STEAM_142,A,CH4
STEAM_142,B,CO2
STEAM_142,C,NH3
STEAM_142,D,O2
STEAM_143,A,O3
STEAM_143,B,CO2
STEAM_143,C,CH4
STEAM_143,D,NH3
STEAM_144,A,H2O2
STEAM_144,B,CH4
STEAM_144,C,CO2
STEAM_144,D,NH3
STEAM_145,A,NH3
STEAM_145,B,CH4
STEAM_145,C,C2H5OH
STEAM_145,D,CO2
STEAM_146,A,basic
STEAM_146,B,acidic
STEAM_146,C,neutral
STEAM_146,D,metallic
STEAM_147,A,metallic
STEAM_147,B,acidic
STEAM_147,C,basic
STEAM_147,D,neutral
STEAM_148,A,metallic
STEAM_148,B,acidic
STEAM_148,C,basic
STEAM_148,D,neutral
STEAM_149,A,acidic
STEAM_149,B,basic
STEAM_149,C,neutral
STEAM_149,D,metallic
STEAM_150,A,acidic
STEAM_150,B,neutral
STEAM_150,C,basic
STEAM_150,D,metallic
STEAM_151,A,acidic
STEAM_151,B,metallic
STEAM_151,C,neutral
STEAM_151,D,basic
STEAM_152,A,insoluble
STEAM_152,B,basic
STEAM_152,C,neutral
STEAM_152,D,acidic
STEAM_153,A,basic
STEAM_153,B,acidic
STEAM_153,C,insoluble
STEAM_153,D,neutral
STEAM_154,A,neutral
STEAM_154,B,acidic
STEAM_154,C,insoluble
STEAM_154,D,basic
STEAM_155,A,insoluble
STEAM_155,B,neutral
STEAM_155,C,basic
STEAM_155,D,acidic
STEAM_156,A,acidic
STEAM_156,B,neutral
STEAM_156,C,insoluble
STEAM_156,D,basic
STEAM_157,A,acidic
STEAM_157,B,basic
STEAM_157,C,neutral
STEAM_157,D,insoluble
STEAM_158,A,basic
STEAM_158,B,neutral
STEAM_158,C,acidic
STEAM_158,D,highly corrosive
STEAM_159,A,2 mol
STEAM_159,B,0.5 mol
STEAM_159,C,648 mol
STEAM_159,D,3 mol
STEAM_160,A,3 mol
STEAM_160,B,0.5 mol
STEAM_160,C,2 mol
STEAM_160,D,3872 mol
STEAM_161,A,0.5 mol
STEAM_161,B,3 mol
STEAM_161,C,6844.5 mol
STEAM_161,D,2 mol
STEAM_162,A,2 mol
STEAM_162,B,3 mol
STEAM_162,C,0.5 mol
STEAM_162,D,2048 mol
STEAM_163,A,1568 mol
STEAM_163,B,3 mol
STEAM_163,C,0.5 mol
STEAM_163,D,2 mol
STEAM_164,A,decomposition reaction
STEAM_164,B,neutralisation reaction
STEAM_164,C,displacement reaction
STEAM_164,D,combination reaction
STEAM_165,A,decomposition reaction
STEAM_165,B,combination reaction
STEAM_165,C,precipitation reaction
STEAM_165,D,double displacement reaction
STEAM_166,A,displacement reaction
STEAM_166,B,combination reaction
STEAM_166,C,decomposition reaction
STEAM_166,D,neutralisation reaction
STEAM_167,A,combination reaction
STEAM_167,B,displacement reaction
STEAM_167,C,neutralisation reaction
STEAM_167,D,thermal decomposition
STEAM_168,A,decomposition reaction
STEAM_168,B,double displacement reaction
STEAM_168,C,combination reaction
STEAM_168,D,redox-free reaction
STEAM_169,A,mitochondria
STEAM_169,B,ribosome
STEAM_169,C,cell wall
STEAM_169,D,vacuole
STEAM_170,A,cell wall
STEAM_170,B,plasma membrane
STEAM_170,C,nucleus
STEAM_170,D,centrosome
STEAM_171,A,parenchyma
STEAM_171,B,phloem
STEAM_171,C,epidermis
STEAM_171,D,xylem
STEAM_172,A,phloem
STEAM_172,B,cork
STEAM_172,C,collenchyma
STEAM_172,D,xylem
STEAM_173,A,cerebrum
STEAM_173,B,cerebellum
STEAM_173,C,spinal cord
STEAM_173,D,medulla
STEAM_174,A,haemoglobin
STEAM_174,B,white blood cells
STEAM_174,C,platelets
STEAM_174,D,plasma
STEAM_175,A,stomach
STEAM_175,B,small intestine
STEAM_175,C,large intestine
STEAM_175,D,oesophagus
STEAM_176,A,lipase
STEAM_176,B,trypsin
STEAM_176,C,amylase
STEAM_176,D,pepsin
STEAM_177,A,glomerulus
STEAM_177,B,collecting duct
STEAM_177,C,ureter
STEAM_177,D,renal pelvis
STEAM_178,A,adrenaline
STEAM_178,B,thyroxine
STEAM_178,C,insulin
STEAM_178,D,growth hormone
STEAM_179,A,sepal
STEAM_179,B,ovary
STEAM_179,C,anther
STEAM_179,D,style
STEAM_180,A,ovule
STEAM_180,B,anther
STEAM_180,C,stigma
STEAM_180,D,petal
STEAM_181,A,DNA
STEAM_181,B,fat
STEAM_181,C,starch
STEAM_181,D,cellulose
STEAM_182,A,tissue
STEAM_182,B,gene
STEAM_182,C,organ
STEAM_182,D,enzyme
STEAM_183,A,budding
STEAM_183,B,mitosis
STEAM_183,C,meiosis
STEAM_183,D,binary fission
STEAM_184,A,cross-pollination
STEAM_184,B,asexual reproduction
STEAM_184,C,sexual reproduction
STEAM_184,D,fertilisation
STEAM_185,A,scurvy
STEAM_185,B,goitre
STEAM_185,C,rickets
STEAM_185,D,anaemia
STEAM_186,A,night blindness
STEAM_186,B,goitre
STEAM_186,C,beriberi
STEAM_186,D,scurvy
STEAM_187,A,Rhizobium
STEAM_187,B,Yeast
STEAM_187,C,Lactobacillus
STEAM_187,D,Plasmodium
STEAM_188,A,honeybee
STEAM_188,B,housefly
STEAM_188,C,Culex mosquito
STEAM_188,D,Aedes mosquito
STEAM_189,A,nitrogen
STEAM_189,B,oxygen
STEAM_189,C,methane
STEAM_189,D,carbon dioxide
STEAM_190,A,nasal cavity
STEAM_190,B,larynx
STEAM_190,C,trachea
STEAM_190,D,lungs
STEAM_191,A,insulin
STEAM_191,B,chlorophyll
STEAM_191,C,haemoglobin
STEAM_191,D,melanin
STEAM_192,A,liver
STEAM_192,B,stomach
STEAM_192,C,pancreas
STEAM_192,D,kidney
STEAM_193,A,gall bladder
STEAM_193,B,appendix
STEAM_193,C,liver
STEAM_193,D,spleen
STEAM_194,A,fixed joint
STEAM_194,B,pivot joint
STEAM_194,C,hinge joint
STEAM_194,D,ball-and-socket joint
STEAM_195,A,lens
STEAM_195,B,cornea
STEAM_195,C,retina
STEAM_195,D,iris
STEAM_196,A,iris
STEAM_196,B,optic nerve
STEAM_196,C,pupil
STEAM_196,D,retina
STEAM_197,A,xylem
STEAM_197,B,phloem
STEAM_197,C,epidermis
STEAM_197,D,meristematic tissue
STEAM_198,A,Protista
STEAM_198,B,Plantae
STEAM_198,C,Fungi
STEAM_198,D,Monera
STEAM_199,A,stem node
STEAM_199,B,seed coat
STEAM_199,C,leaf
STEAM_199,D,root
STEAM_200,A,root
STEAM_200,B,seed coat
STEAM_200,C,stem node
STEAM_200,D,leaf
STEAM_201,A,leaf
STEAM_201,B,root
STEAM_201,C,stem node
STEAM_201,D,seed coat
STEAM_202,A,root
STEAM_202,B,seed coat
STEAM_202,C,leaf
STEAM_202,D,stem node
STEAM_203,A,stem node
STEAM_203,B,leaf
STEAM_203,C,seed coat
STEAM_203,D,root
STEAM_204,A,seed coat
STEAM_204,B,stem node
STEAM_204,C,root
STEAM_204,D,leaf
STEAM_205,A,root
STEAM_205,B,leaf
STEAM_205,C,stem node
STEAM_205,D,seed coat
STEAM_206,A,root
STEAM_206,B,seed coat
STEAM_206,C,stem node
STEAM_206,D,leaf
STEAM_207,A,seed coat
STEAM_207,B,root
STEAM_207,C,stem node
STEAM_207,D,leaf
STEAM_208,A,root
STEAM_208,B,seed coat
STEAM_208,C,stem node
STEAM_208,D,leaf
STEAM_209,A,circulation
STEAM_209,B,photosynthesis
STEAM_209,C,water conduction
STEAM_209,D,pollen formation
STEAM_210,A,water conduction
STEAM_210,B,photosynthesis
STEAM_210,C,respiration
STEAM_210,D,pollen formation
STEAM_211,A,water conduction
STEAM_211,B,pollen formation
STEAM_211,C,photosynthesis
STEAM_211,D,digestion
STEAM_212,A,water conduction
STEAM_212,B,pollen formation
STEAM_212,C,photosynthesis
STEAM_212,D,excretion
STEAM_213,A,photosynthesis
STEAM_213,B,coordination
STEAM_213,C,pollen formation
STEAM_213,D,water conduction
STEAM_214,A,pollen formation
STEAM_214,B,photosynthesis
STEAM_214,C,bile production
STEAM_214,D,water conduction
STEAM_215,A,protection
STEAM_215,B,pollen formation
STEAM_215,C,photosynthesis
STEAM_215,D,water conduction
STEAM_216,A,water conduction
STEAM_216,B,absorption of digested food
STEAM_216,C,photosynthesis
STEAM_216,D,pollen formation
STEAM_217,A,water conduction
STEAM_217,B,pollen formation
STEAM_217,C,photosynthesis
STEAM_217,D,insulin secretion
STEAM_218,A,sperm production
STEAM_218,B,pollen formation
STEAM_218,C,water conduction
STEAM_218,D,photosynthesis
STEAM_219,A,water conduction
STEAM_219,B,photosynthesis
STEAM_219,C,egg production
STEAM_219,D,pollen formation
STEAM_220,A,water conduction
STEAM_220,B,photosynthesis
STEAM_220,C,blood cell formation
STEAM_220,D,pollen formation
STEAM_221,A,producer
STEAM_221,B,primary consumer
STEAM_221,C,non-living factor
STEAM_221,D,decomposer
STEAM_222,A,primary consumer
STEAM_222,B,non-living factor
STEAM_222,C,producer
STEAM_222,D,secondary consumer
STEAM_223,A,producer
STEAM_223,B,non-living factor
STEAM_223,C,primary consumer
STEAM_223,D,secondary consumer
STEAM_224,A,primary consumer
STEAM_224,B,producer
STEAM_224,C,non-living factor
STEAM_224,D,decomposer
STEAM_225,A,decomposer
STEAM_225,B,producer
STEAM_225,C,primary consumer
STEAM_225,D,non-living factor
STEAM_226,A,primary consumer
STEAM_226,B,producer
STEAM_226,C,secondary consumer
STEAM_226,D,non-living factor
STEAM_227,A,producer
STEAM_227,B,primary consumer
STEAM_227,C,top consumer
STEAM_227,D,non-living factor
STEAM_228,A,non-living factor
STEAM_228,B,producer
STEAM_228,C,decomposer
STEAM_228,D,primary consumer
STEAM_229,A,because of inertia of motion
STEAM_229,B,because friction becomes zero
STEAM_229,C,because mass becomes less
STEAM_229,D,because gravity disappears
STEAM_230,A,red
STEAM_230,B,violet
STEAM_230,C,blue
STEAM_230,D,green
STEAM_231,A,speaker
STEAM_231,B,solar cell
STEAM_231,C,battery
STEAM_231,D,dynamo
STEAM_232,A,cell
STEAM_232,B,bulb
STEAM_232,C,fuse
STEAM_232,D,motor
STEAM_233,A,frequency
STEAM_233,B,resistance
STEAM_233,C,force
STEAM_233,D,pressure
STEAM_234,A,to increase melting point
STEAM_234,B,to reduce gravity
STEAM_234,C,to increase friction with the road
STEAM_234,D,to decrease mass
STEAM_235,A,convex lens
STEAM_235,B,cylindrical magnet
STEAM_235,C,concave lens
STEAM_235,D,plane glass
STEAM_236,A,opaque lens
STEAM_236,B,plane mirror
STEAM_236,C,convex lens
STEAM_236,D,concave lens
STEAM_237,A,35°
STEAM_237,B,55°
STEAM_237,C,0°
STEAM_237,D,70°
STEAM_238,A,power
STEAM_238,B,work
STEAM_238,C,density
STEAM_238,D,pressure
STEAM_239,A,pascal
STEAM_239,B,joule
STEAM_239,C,tesla
STEAM_239,D,newton
STEAM_240,A,joule
STEAM_240,B,ohm
STEAM_240,C,watt
STEAM_240,D,volt
STEAM_241,A,current increases
STEAM_241,B,current is unchanged
STEAM_241,C,current decreases
STEAM_241,D,current becomes infinite
STEAM_242,A,X-rays
STEAM_242,B,infrared radiation
STEAM_242,C,ultraviolet radiation
STEAM_242,D,gamma rays
STEAM_243,A,pulley
STEAM_243,B,inclined plane
STEAM_243,C,lever
STEAM_243,D,screw
STEAM_244,A,0 m/s²
STEAM_244,B,cannot be zero
STEAM_244,C,1 m/s²
STEAM_244,D,9.8 m/s²
STEAM_245,A,the warmest object
STEAM_245,B,the object with greatest mass
STEAM_245,C,the object with greatest speed only
STEAM_245,D,the brightest object
STEAM_246,A,weak magnetism
STEAM_246,B,low pressure
STEAM_246,C,low temperature
STEAM_246,D,excess current
STEAM_247,A,resistance
STEAM_247,B,voltage
STEAM_247,C,power rating
STEAM_247,D,current
STEAM_248,A,current
STEAM_248,B,resistance
STEAM_248,C,voltage
STEAM_248,D,charge stored
STEAM_249,A,hydrogen
STEAM_249,B,nitrogen
STEAM_249,C,carbon dioxide
STEAM_249,D,oxygen
STEAM_250,A,metal and oxygen
STEAM_250,B,sugar and oxygen
STEAM_250,C,sand and water
STEAM_250,D,salt and water
STEAM_251,A,carbon
STEAM_251,B,bromine
STEAM_251,C,sulfur
STEAM_251,D,iodine
STEAM_252,A,mercury
STEAM_252,B,aluminium
STEAM_252,C,iron
STEAM_252,D,sodium
STEAM_253,A,oxygen
STEAM_253,B,carbon dioxide
STEAM_253,C,helium
STEAM_253,D,nitrogen
STEAM_254,A,hydrogen
STEAM_254,B,helium
STEAM_254,C,carbon monoxide
STEAM_254,D,chlorine
STEAM_255,A,citric acid
STEAM_255,B,lactic acid
STEAM_255,C,hydrochloric acid
STEAM_255,D,acetic acid
STEAM_256,A,acetic acid
STEAM_256,B,citric acid
